EXTERNAL:00000081 | Function | GetTimeZoneInformation
EXTERNAL:00000082 | Function | SystemTimeToFileTime
EXTERNAL:00000083 | Function | FileTimeToLocalFileTime
EXTERNAL:00000084 | Function | LocalFileTimeToFileTime
EXTERNAL:00000085 | Function | FileTimeToSystemTime
EXTERNAL:00000086 | Function | FileTimeToDosDateTime
EXTERNAL:00000087 | Function | DosDateTimeToFileTime
EXTERNAL:00000088 | Function | CreatePipe
EXTERNAL:00000089 | Function | PeekNamedPipe
EXTERNAL:0000008a | Function | QueryPerformanceCounter
EXTERNAL:0000008b | Function | GetCPInfo
EXTERNAL:0000008c | Function | GetThreadLocale
EXTERNAL:0000008d | Function | SetThreadLocale
EXTERNAL:0000008e | Function | GetUserDefaultLCID
EXTERNAL:0000008f | Function | SysAllocStringLen
EXTERNAL:00000090 | Function | SysFreeString
EXTERNAL:00000091 | Function | SysReAllocStringLen
EXTERNAL:00000092 | Function | VariantChangeTypeEx
EXTERNAL:00000093 | Function | VariantClear
EXTERNAL:00000094 | Function | VariantCopy
EXTERNAL:00000095 | Function | VariantInit
EXTERNAL:00000096 | Function | SafeArrayAccessData
EXTERNAL:00000097 | Function | SafeArrayCreate
EXTERNAL:00000098 | Function | SafeArrayGetElement
EXTERNAL:00000099 | Function | SafeArrayGetLBound
EXTERNAL:0000009a | Function | SafeArrayGetUBound
EXTERNAL:0000009b | Function | SafeArrayPtrOfIndex
EXTERNAL:0000009c | Function | SafeArrayPutElement
EXTERNAL:0000009d | Function | SafeArrayRedim
EXTERNAL:0000009e | Function | SafeArrayUnaccessData
EXTERNAL:0000009f | Function | MessageBoxA
EXTERNAL:000000a0 | Function | CharUpperBuffW
EXTERNAL:000000a1 | Function | CharLowerBuffW
EXTERNAL:000000a2 | Function | PeekMessageA
EXTERNAL:000000a3 | Function | SendMessageA
EXTERNAL:000000a4 | Function | PostMessageA
EXTERNAL:000000a5 | Function | DefWindowProcA
EXTERNAL:000000a6 | Function | CallWindowProcA
EXTERNAL:000000a7 | Function | RegisterClassA
EXTERNAL:000000a8 | Function | UnregisterClassA
EXTERNAL:000000a9 | Function | GetClassInfoA
EXTERNAL:000000aa | Function | CreateWindowExA
EXTERNAL:000000ab | Function | RegisterClipboardFormatA
EXTERNAL:000000ac | Function | GetClipboardFormatNameA
EXTERNAL:000000ad | Function | CharToOemA
EXTERNAL:000000ae | Function | OemToCharA
EXTERNAL:000000af | Function | CharUpperA
EXTERNAL:000000b0 | Function | CharUpperBuffA
EXTERNAL:000000b1 | Function | CharLowerA
EXTERNAL:000000b2 | Function | CharLowerBuffA
EXTERNAL:000000b3 | Function | MapVirtualKeyA
EXTERNAL:000000b4 | Function | GetMenuItemInfoA
EXTERNAL:000000b5 | Function | SetPropA
EXTERNAL:000000b6 | Function | GetPropA
EXTERNAL:000000b7 | Function | RemovePropA
EXTERNAL:000000b8 | Function | EnumPropsA
EXTERNAL:000000b9 | Function | SetWindowTextA
EXTERNAL:000000ba | Function | GetWindowLongA
EXTERNAL:000000bb | Function | GetClassLongA
EXTERNAL:000000bc | Function | SetClassLongA
EXTERNAL:000000bd | Function | FindWindowExA
EXTERNAL:000000be | Function | GetClassNameA
EXTERNAL:000000bf | Function | LoadBitmapA
EXTERNAL:000000c0 | Function | LoadCursorA
EXTERNAL:000000c1 | Function | LoadIconA
EXTERNAL:000000c2 | Function | LoadImageA
EXTERNAL:000000c3 | Function | SystemParametersInfoA
EXTERNAL:000000c4 | Function | DispatchMessageW
EXTERNAL:000000c5 | Function | PeekMessageW
EXTERNAL:000000c6 | Function | SendMessageW
EXTERNAL:000000c7 | Function | PostMessageW
EXTERNAL:000000c8 | Function | DefWindowProcW
EXTERNAL:000000c9 | Function | CallWindowProcW
EXTERNAL:000000ca | Function | RegisterClassW
EXTERNAL:000000cb | Function | UnregisterClassW
EXTERNAL:000000cc | Function | GetClassInfoW
EXTERNAL:000000cd | Function | CreateWindowExW
EXTERNAL:000000ce | Function | InsertMenuItemW
EXTERNAL:000000cf | Function | GetMenuItemInfoW
EXTERNAL:000000d0 | Function | SetMenuItemInfoW
EXTERNAL:000000d1 | Function | DrawTextW
EXTERNAL:000000d2 | Function | DrawStateW
EXTERNAL:000000d3 | Function | SetWindowTextW
EXTERNAL:000000d4 | Function | GetWindowTextW
EXTERNAL:000000d5 | Function | GetWindowTextLengthW
EXTERNAL:000000d6 | Function | MessageBoxW
EXTERNAL:000000d7 | Function | GetWindowLongW
EXTERNAL:000000d8 | Function | SetWindowLongW
EXTERNAL:000000d9 | Function | DefFrameProcW
EXTERNAL:000000da | Function | DefMDIChildProcW
EXTERNAL:000000db | Function | GetKeyboardLayout
EXTERNAL:000000dc | Function | TranslateMessage
EXTERNAL:000000dd | Function | PostQuitMessage
EXTERNAL:000000de | Function | GetDoubleClickTime
EXTERNAL:000000df | Function | IsWindow
EXTERNAL:000000e0 | Function | IsMenu
EXTERNAL:000000e1 | Function | DestroyWindow
EXTERNAL:000000e2 | Function | ShowWindow
EXTERNAL:000000e3 | Function | ShowWindowAsync
EXTERNAL:000000e4 | Function | MoveWindow
EXTERNAL:000000e5 | Function | SetWindowPos
EXTERNAL:000000e6 | Function | GetWindowPlacement
EXTERNAL:000000e7 | Function | SetWindowPlacement
EXTERNAL:000000e8 | Function | BeginDeferWindowPos
EXTERNAL:000000e9 | Function | DeferWindowPos
EXTERNAL:000000ea | Function | EndDeferWindowPos
EXTERNAL:000000eb | Function | IsWindowVisible
EXTERNAL:000000ec | Function | IsIconic
EXTERNAL:000000ed | Function | BringWindowToTop
EXTERNAL:000000ee | Function | IsZoomed
EXTERNAL:000000ef | Function | OpenClipboard
EXTERNAL:000000f0 | Function | CloseClipboard
EXTERNAL:000000f1 | Function | SetClipboardData
EXTERNAL:000000f2 | Function | GetClipboardData
EXTERNAL:000000f3 | Function | CountClipboardFormats
EXTERNAL:000000f4 | Function | EnumClipboardFormats
EXTERNAL:000000f5 | Function | EmptyClipboard
EXTERNAL:000000f6 | Function | IsClipboardFormatAvailable
EXTERNAL:000000f7 | Function | SetFocus
EXTERNAL:000000f8 | Function | GetActiveWindow
EXTERNAL:000000f9 | Function | GetFocus
EXTERNAL:000000fa | Function | GetKeyState
EXTERNAL:000000fb | Function | GetKeyboardState
EXTERNAL:000000fc | Function | ToAscii
EXTERNAL:000000fd | Function | keybd_event
EXTERNAL:000000fe | Function | GetCapture
EXTERNAL:000000ff | Function | SetCapture
EXTERNAL:00000100 | Function | ReleaseCapture
EXTERNAL:00000101 | Function | MsgWaitForMultipleObjects
EXTERNAL:00000102 | Function | SetTimer
EXTERNAL:00000103 | Function | KillTimer
EXTERNAL:00000104 | Function | EnableWindow
